Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.815,0.6666666666666666,0.1951219512195122,0.3018867924528302,0.7404509894155545
Random Forest,0.83,0.8888888888888888,0.1951219512195122,0.32,0.811934345758552
